PLAYER NAME,NATIONALITY,RUNS MADE TILL THAT YEAR 
DC Boon,Australia,39(till1984),303(till1985),1071(till1986),1727(till1987),2309(till1988),2636(till1989),3053(till1990),3379(till1991),4177(till1992),4594(till1993),5667(till1994),5964(till1995),
MJ Bennett,Australia,0(till1984),9(till1985),
CJ McDermott,Australia,38(till1985),150(till1986),191(till1987),290(till1988),324(till1989),324(till1990),334(till1991),363(till1992),381(till1993),420(till1994),431(till1995),432(till1996),
SP O'Donnell,Australia,326(till1985),567(till1987),727(till1989),1154(till1990),1242(till1991),
RG Holland,Australia,0(till1985),
RJ McCurdy,Australia,33(till1985),
RB Kerr,Australia,97(till1985),
SP Davis,Australia,8(till1986),20(till1987),20(till1988),
DR Gilbert,Australia,39(till1986),
BA Reid,Australia,16(till1986),36(till1987),37(till1990),40(till1991),49(till1992),
SR Waugh,Australia,514(till1986),1095(till1987),1422(till1988),1799(till1989),2125(till1990),2342(till1991),2622(till1992),2987(till1993),3607(till1994),3852(till1995),4629(till1996),5100(till1997),5686(till1998),6320(till1999),6897(till2000),7382(till2001),7569(till2002),
GR Marsh,Australia,724(till1986),1607(till1987),2105(till1988),2923(till1989),3469(till1990),4075(till1991),4357(till1992),
GS Trimble,Australia,4(till1986),
TJ Zoehrer,Australia,17(till1986),121(till1987),130(till1994),
GC Dyer,Australia,51(till1986),101(till1987),174(till1988),
GA Bishop,Australia,13(till1987),
PL Taylor,Australia,43(till1987),134(till1988),221(till1989),363(till1990),379(till1991),437(till1992),
MRJ Veletta,Australia,141(till1987),467(till1988),484(till1989),
TM Moody,Australia,10(till1987),62(till1989),281(till1990),347(till1991),751(till1992),762(till1996),766(till1997),1013(till1998),1211(till1999),
TBA May,Australia,16(till1987),16(till1988),18(till1989),18(till1992),22(till1993),36(till1994),39(till1995),
AK Zesers,Australia,10(till1987),
AIC Dodemaide,Australia,84(till1988),84(till1992),124(till1993),
IA Healy,Australia,27(till1988),116(till1989),356(till1990),487(till1991),627(till1992),850(till1993),1140(till1994),1375(till1995),1617(till1996),1764(till1997),
JD Siddons,Australia,32(till1988),
MG Hughes,Australia,4(till1988),37(till1989),56(till1990),56(till1991),56(till1992),100(till1993),
ME Waugh,Australia,50(till1988),131(till1989),220(till1990),477(till1991),858(till1992),1603(till1993),2542(till1994),3010(till1995),4069(till1996),4745(till1997),5502(till1998),6970(till1999),7565(till2000),8374(till2001),8500(till2002),
GD Campbell,Australia,0(till1989),6(till1990),
MA Taylor,Australia,48(till1989),516(till1990),636(till1991),930(till1992),1502(till1993),2088(till1994),2611(till1995),3403(till1996),3514(till1997),
PR Reiffel,Australia,41(till1992),108(till1993),238(till1994),302(till1995),421(till1996),459(till1997),493(till1998),503(till1999),
DR Martyn,Australia,45(till1992),136(till1993),166(till1994),280(till1998),730(till1999),1262(till2000),1679(till2001),2397(till2002),3275(till2003),3886(till2004),4691(till2005),5346(till2006),
SK Warne,Australia,6(till1993),184(till1994),234(till1995),283(till1996),402(till1997),469(till1998),673(till1999),769(till2000),835(till2001),1016(till2002),1016(till2003),1018(till2005),
ML Hayden,Australia,102(till1993),286(till1994),477(till2000),788(till2001),1666(till2002),2703(till2003),3649(till2004),4131(till2005),4234(till2006),5835(till2007),6133(till2008),
BP Julian,Australia,0(till1993),11(till1995),11(till1997),40(till1998),224(till1999),
GD McGrath,Australia,0(till1993),14(till1994),25(till1995),43(till1996),45(till1997),45(till1998),52(till1999),69(till2000),70(till2001),88(till2002),94(till2003),94(till2004),102(till2005),109(till2006),115(till2007),
MJ Slater,Australia,91(till1993),526(till1994),758(till1995),969(till1996),987(till1997),
DW Fleming,Australia,4(till1994),14(till1995),19(till1996),30(till1998),48(till1999),101(till2000),152(till2001),
MG Bevan,Australia,432(till1994),526(till1995),1286(till1996),2014(till1997),2973(till1998),3922(till1999),4803(till2000),5384(till2001),5850(till2002),6634(till2003),6912(till2004),
JL Langer,Australia,125(till1994),131(till1995),160(till1997),
J Angel,Australia,0(till1994),0(till1995),
GR Robertson,Australia,6(till1994),7(till1995),45(till1998),
PA Emery,Australia,11(till1994),
SG Law,Australia,117(till1994),228(till1995),821(till1996),1145(till1997),1206(till1998),1237(till1999),
GS Blewett,Australia,111(till1995),192(till1996),474(till1997),551(till1999),
